company_name,company_website,industry,company_size,contact_name,contact_email,contact_title,notes
"LANTZ HOME SERVICES, INC.",https://lantzhomeservices.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 57.2, Tier: SILVER"
PETRO HOME SERVICES,https://www.petro.com/locations/warwick-ri,HVAC/Electrical,Unknown,,,,"ICP Score: 57.2, Tier: SILVER"
Triumph Home Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 57.2, Tier: SILVER"
"AIRPORT ELECTRIC SERVICE, INC",https://airportelectricservice.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
ALL AMERICAN ELECTRIC SERVICE LLC,https://allamericanelectricllc.generacdealers.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"ALPINE ELECTRICAL SERVICES, INC.",https://www.alpinegenerators.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"AMERICAN GENERATOR SERVICES NA, LLC",https://ags-na.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
ASC Allen Service Co,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Ace Energy Services,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Air Solutions Heating, Cooling, Plumbing & Electrical",,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Airco Service Inc.,https://york.dispatch.me/booking/times?externalorganizationid=200412686&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Airco Service NWA,https://york.dispatch.me/booking/times?externalorganizationid=200413218&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Airco Service, Inc",https://york.dispatch.me/booking/times?externalorganizationid=200414904&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Airco Service, Inc",https://york.dispatch.me/booking/times?externalorganizationid=200413215&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"Airco Service, Inc Edmond",https://york.dispatch.me/booking/times?externalorganizationid=200413214&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
BENISON ENERGY SERVICES INC,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
BLUE CHIP ENERGY SERVICES,http://www.leitnerelectric.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
BOLTON CONSTRUCTION & SERVICE,https://york.dispatch.me/booking/times?externalorganizationid=200411214&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
BOOKER ELECTRICAL SERVICES INC.,https://www.bookerelectric.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
BROOK FIELD SERVICE,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Beard Services,https://york.dispatch.me/booking/times?externalorganizationid=200410527&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Borchers Mechanical Services Inc.,https://york.dispatch.me/booking/times?externalorganizationid=200413071&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Bradberry Service Co.,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"CATES A/C & HTG SERVICE, INC",https://york.dispatch.me/booking/times?externalorganizationid=2158&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
CG PROFESSIONAL SERVICES,https://powerproteam.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
CIRCLE GENERATOR SERVICE INC,https://www.circlegenerators.biz/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
CUSTOM MECHANICAL SERVICES,https://york.dispatch.me/booking/times?externalorganizationid=237&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
CV WIND SERVICE,http://www.offgridvermont.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
D & I Repair Inc,https://york.dispatch.me/booking/times?externalorganizationid=200405071&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
D&G AC Services,https://york.dispatch.me/booking/times?externalorganizationid=200413796&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Durham Service Company,https://york.dispatch.me/booking/times?externalorganizationid=200414134&optional_checked=true,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
Efficient Air Service,,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
"FIREPLACE & GAS SERVICES , INC.",https://www.fireplaceandgas.com/,HVAC/Electrical,Unknown,,,,"ICP Score: 56.2, Tier: SILVER"
